Algorithm,Size,almost_sorted,random,reverse_sorted,sorted
Bubble,10,2.2699940018355846e-05,1.8300022929906845e-05,3.1800009310245514e-05,1.5600002370774746e-05
Bubble,100,0.0006800999399274588,0.002092099981382489,0.002972999936901033,0.0011042000260204077
Bubble,1000,0.06607099995017052,0.13014380005188286,0.16449880006257445,0.05540029995609075
Insertion,10,1.550000160932541e-05,1.3199984095990658e-05,2.6700086891651154e-05,3.600027412176132e-06
Insertion,100,9.290000889450312e-05,0.001837699906900525,0.00320759997703135,2.7099973522126675e-05
Insertion,1000,0.0008311000419780612,0.12272320000920445,0.209470099885948,0.00013160007074475288
Merge,10,6.740004755556583e-05,5.549995694309473e-05,6.410002242773771e-05,6.140000186860561e-05
Merge,100,0.0007230000337585807,0.0009211000287905335,0.0008328000549226999,0.000813000020571053
Merge,1000,0.005808099987916648,0.008528499980457127,0.004996499978005886,0.005180799984373152
Selection,10,2.1200045011937618e-05,1.8399907276034355e-05,1.750001683831215e-05,1.8699909560382366e-05
Selection,100,0.0007706000469624996,0.0010476000607013702,0.001056700013577938,0.0009787000017240644
Selection,1000,0.06693840003572404,0.08288120001088828,0.06388889998197556,0.07076859998051077
